game time,home team,home score,away team,away score
"Thursday, October 5, 2023",Commanders,20,Bears,40
"Sunday, October 8, 2023",Bills,20,Jaguars,25
"Sunday, October 8, 2023",Falcons,21,Texans,19
"Sunday, October 8, 2023",Lions,42,Panthers,24
"Sunday, October 8, 2023",Colts,23,Titans,16
"Sunday, October 8, 2023",Dolphins,31,Giants,16
"Sunday, October 8, 2023",Patriots,0,Saints,34
"Sunday, October 8, 2023",Steelers,17,Ravens,10
"Sunday, October 8, 2023",Rams,14,Eagles,23
"Sunday, October 8, 2023",Cardinals,20,Bengals,34
"Sunday, October 8, 2023",Broncos,21,Jets,31
"Sunday, October 8, 2023",Vikings,20,Chiefs,27
"Sunday, October 8, 2023",49ers,42,Cowboys,10
"Monday, October 9, 2023",Raiders,17,Packers,13
